1461095800.42 42011397 622351 ms 55828 ms 436264 ms 2546 -39 [-40, -46] dBm 46883946 654928 ms 5336 ms 653867 ms 490 -48 [-53, -50] dBm
1461095808.08 45234331 624144 ms 56486 ms 437226 ms 2842 -36 [-37, -42] dBm 50791546 655761 ms 5657 ms 654351 ms 510 -50 [-54, -52] dBm
1461095815.87 48647481 625624 ms 57105 ms 437955 ms 3132 -38 [-39, -45] dBm 55099122 656915 ms 5986 ms 655154 ms 537 -49 [-53, -51] dBm
1461095823.74 51918031 627206 ms 57715 ms 438738 ms 3349 -39 [-40, -45] dBm 59489430 657983 ms 6331 ms 655844 ms 555 -48 [-51, -51] dBm
1461095831.56 54862801 628792 ms 58288 ms 439513 ms 3571 -35 [-36, -42] dBm 64059216 658985 ms 6682 ms 656463 ms 583 -49 [-52, -51] dBm
1461095839.33 58254679 630507 ms 58889 ms 440254 ms 3765 -38 [-39, -44] dBm 68383648 660354 ms 7044 ms 657455 ms 620 -49 [-53, -51] dBm
1461095847.12 61577385 632251 ms 59504 ms 440995 ms 3974 -35 [-36, -41] dBm 72856792 662477 ms 7398 ms 659209 ms 639 -49 [-52, -52] dBm
1461095854.85 64880683 634148 ms 60101 ms 441927 ms 4148 -38 [-39, -45] dBm 77247911 663243 ms 7745 ms 659590 ms 665 -49 [-52, -51] dBm
1461095862.79 68307863 636078 ms 60721 ms 442895 ms 4373 -39 [-40, -45] dBm 81705715 664064 ms 8092 ms 660023 ms 693 -49 [-54, -51] dBm
1461095870.69 71624433 638140 ms 61327 ms 443921 ms 4555 -35 [-36, -41] dBm 86165053 665032 ms 8448 ms 660601 ms 716 -49 [-53, -52] dBm
1461095878.47 75003835 640226 ms 61956 ms 444993 ms 4785 -35 [-36, -41] dBm 90431107 665910 ms 8783 ms 661110 ms 735 -49 [-52, -52] dBm
1461095886.19 78306537 642117 ms 62563 ms 445829 ms 5000 -38 [-40, -44] dBm 94628281 666907 ms 9109 ms 661759 ms 757 -49 [-51, -53] dBm
1461095893.77 81121555 644923 ms 63109 ms 447715 ms 5183 -35 [-37, -41] dBm 97237679 667913 ms 9322 ms 662546 ms 780 -49 [-51, -53] dBm
1461095901.4 83608169 646970 ms 63626 ms 448969 ms 5359 -38 [-40, -45] dBm 99874711 668574 ms 9538 ms 662975 ms 800 -48 [-51, -52] dBm
1461095909.05 86128947 648497 ms 64133 ms 449684 ms 5519 -38 [-40, -44] dBm 102411947 669231 ms 9747 ms 663405 ms 832 -49 [-51, -52] dBm
1461095916.61 88667169 649945 ms 64596 ms 450360 ms 5648 -39 [-41, -45] dBm 104957700 669953 ms 9956 ms 663900 ms 860 -50 [-54, -52] dBm
1461095924.09 91146317 651478 ms 65071 ms 451123 ms 5787 -35 [-36, -41] dBm 107580840 671037 ms 10173 ms 664731 ms 880 -50 [-52, -54] dBm
1461095931.78 94090267 653152 ms 65626 ms 451885 ms 5961 -38 [-39, -45] dBm 111723142 672011 ms 10496 ms 665364 ms 900 -50 [-53, -53] dBm
1461095939.26 96931235 654934 ms 66112 ms 452843 ms 6104 -38 [-40, -44] dBm 114346786 672771 ms 10709 ms 665900 ms 924 -50 [-53, -53] dBm
1461095946.77 99132525 656372 ms 66527 ms 453611 ms 6193 -38 [-39, -44] dBm 116818146 673354 ms 10909 ms 666265 ms 934 -48 [-51, -51] dBm
1461095954.51 101358359 658161 ms 67027 ms 454634 ms 6351 -32 [-33, -38] dBm 120257094 674159 ms 11208 ms 666741 ms 960 -49 [-53, -52] dBm
1461095962.06 104343585 659738 ms 67560 ms 455381 ms 6498 -35 [-36, -41] dBm 123002954 674785 ms 11418 ms 667136 ms 979 -49 [-53, -52] dBm
1461095969.57 106897695 661332 ms 68046 ms 456173 ms 6665 -39 [-40, -44] dBm 125695210 675430 ms 11642 ms 667536 ms 995 -49 [-51, -53] dBm
1461095977.37 110069293 663060 ms 68626 ms 456945 ms 6877 -39 [-40, -45] dBm 129851627 676199 ms 11981 ms 667930 ms 1022 -49 [-52, -53] dBm
1461095985.09 113102419 664754 ms 69196 ms 457744 ms 7050 -39 [-40, -46] dBm 133068425 676863 ms 12227 ms 668326 ms 1033 -49 [-51, -53] dBm
1461095992.69 115592101 666179 ms 69673 ms 458471 ms 7216 -39 [-40, -46] dBm 135884968 677512 ms 12457 ms 668726 ms 1054 -48 [-49, -56] dBm
1461096000.43 118543753 667829 ms 70245 ms 459276 ms 7405 -35 [-36, -42] dBm 139612588 678315 ms 12756 ms 669205 ms 1085 -48 [-49, -57] dBm
1461096007.93 121193853 669829 ms 70738 ms 460428 ms 7600 -39 [-40, -46] dBm 142002732 678921 ms 12965 ms 669579 ms 1124 -48 [-49, -56] dBm
1461096015.4 123636045 672164 ms 71218 ms 461819 ms 7768 -39 [-40, -45] dBm 144434250 679537 ms 13184 ms 669948 ms 1160 -48 [-49, -57] dBm
1461096022.91 126121189 674713 ms 71699 ms 463419 ms 7939 -35 [-36, -42] dBm 146850386 680235 ms 13410 ms 670396 ms 1194 -47 [-48, -55] dBm
1461096030.49 128512903 676549 ms 72191 ms 464451 ms 8109 -40 [-41, -46] dBm 149295977 680952 ms 13627 ms 670866 ms 1230 -47 [-48, -55] dBm
1461096037.96 130898585 678861 ms 72661 ms 465924 ms 8293 -35 [-37, -42] dBm 151892645 681696 ms 13854 ms 671361 ms 1263 -47 [-48, -55] dBm
