1461870178.9 2807789016 4315791 ms 1503205 ms 374130 ms 875654 ms 166 -36 [-38, -39] dBm 366890 4318417 ms 221891 ms 997 ms 217802 ms 3 -45 [-49, -49] dBm
1461870186.61 2832214056 4323472 ms 1509959 ms 376551 ms 879289 ms 166 -35 [-38, -39] dBm 368930 4326090 ms 222284 ms 1001 ms 218186 ms 4 -45 [-48, -48] dBm
1461870194.34 2855477532 4331186 ms 1516800 ms 379013 ms 882879 ms 166 -36 [-39, -39] dBm 371199 4333809 ms 222791 ms 1008 ms 218686 ms 4 -45 [-47, -48] dBm
1461870202.07 2880149478 4338895 ms 1523527 ms 381541 ms 886405 ms 166 -36 [-39, -39] dBm 375050 4341577 ms 223180 ms 1012 ms 219065 ms 4 -46 [-49, -49] dBm
1461870209.91 2902908767 4346765 ms 1530259 ms 383980 ms 889993 ms 166 -36 [-39, -40] dBm 377467 4349408 ms 223596 ms 1012 ms 219475 ms 4 -45 [-47, -48] dBm
1461870217.75 2928335345 4354590 ms 1537187 ms 386560 ms 893637 ms 166 -36 [-39, -40] dBm 379922 4357226 ms 224003 ms 1017 ms 219870 ms 4 -45 [-47, -49] dBm
1461870225.54 2951118550 4362305 ms 1543947 ms 389033 ms 897162 ms 166 -36 [-39, -40] dBm 382627 4364929 ms 224610 ms 1019 ms 220468 ms 4 -45 [-49, -49] dBm
1461870233.27 2972384184 4370003 ms 1550293 ms 391169 ms 900703 ms 168 -36 [-39, -40] dBm 385234 4372624 ms 225839 ms 1022 ms 221712 ms 6 -46 [-49, -48] dBm
1461870241.0 2992749462 4377712 ms 1556747 ms 393543 ms 904098 ms 169 -36 [-39, -40] dBm 387250 4380319 ms 227099 ms 1025 ms 222977 ms 7 -49 [-53, -51] dBm
1461870248.72 3016651309 4385436 ms 1563738 ms 396134 ms 907752 ms 171 -36 [-39, -40] dBm 389624 4388043 ms 228154 ms 1027 ms 224032 ms 8 -44 [-54, -45] dBm
1461870256.48 3041175156 4393183 ms 1570737 ms 398671 ms 911482 ms 171 -36 [-39, -40] dBm 391893 4395774 ms 228614 ms 1027 ms 224489 ms 8 -45 [-52, -46] dBm
1461870264.23 3065424362 4400907 ms 1577509 ms 401072 ms 915073 ms 175 -36 [-39, -40] dBm 394411 4403487 ms 229214 ms 1030 ms 225083 ms 8 -46 [-52, -47] dBm
1461870271.97 3089089238 4408631 ms 1584265 ms 403542 ms 918657 ms 180 -36 [-39, -40] dBm 396453 4411211 ms 230648 ms 1031 ms 226527 ms 8 -45 [-51, -46] dBm
1461870279.67 3113545958 4416309 ms 1591136 ms 406095 ms 922269 ms 180 -36 [-39, -39] dBm 398796 4418889 ms 231608 ms 1034 ms 227486 ms 11 -47 [-51, -49] dBm
1461870287.43 3137403118 4424067 ms 1597981 ms 408679 ms 925774 ms 181 -36 [-39, -39] dBm 400923 4426634 ms 232194 ms 1039 ms 228063 ms 11 -46 [-51, -47] dBm
1461870295.17 3161694114 4431766 ms 1604848 ms 411188 ms 929374 ms 181 -36 [-39, -40] dBm 403428 4434424 ms 232868 ms 1041 ms 228741 ms 11 -45 [-51, -46] dBm
1461870302.94 3184821399 4439628 ms 1611779 ms 413653 ms 933046 ms 181 -36 [-39, -39] dBm 405491 4442169 ms 233486 ms 1043 ms 229351 ms 11 -45 [-52, -46] dBm
1461870310.8 3211118451 4447401 ms 1618735 ms 416278 ms 936695 ms 183 -35 [-39, -39] dBm 408063 4449948 ms 234109 ms 1046 ms 229965 ms 11 -45 [-50, -47] dBm
1461870318.63 3236627217 4455218 ms 1625709 ms 418971 ms 940302 ms 183 -35 [-39, -38] dBm 410751 4457805 ms 234943 ms 1053 ms 230797 ms 11 -46 [-51, -48] dBm
1461870326.46 3260492260 4463020 ms 1632624 ms 421508 ms 943946 ms 183 -35 [-39, -38] dBm 413307 4465633 ms 236951 ms 1055 ms 232833 ms 11 -48 [-50, -51] dBm
1461870334.3 3285452699 4470879 ms 1639619 ms 424068 ms 947651 ms 183 -35 [-39, -38] dBm 415959 4473431 ms 238401 ms 1057 ms 234311 ms 11 -46 [-50, -48] dBm
1461870342.21 3309910572 4478773 ms 1646593 ms 426543 ms 951409 ms 183 -35 [-39, -38] dBm 418205 4481312 ms 239233 ms 1060 ms 235144 ms 11 -47 [-51, -50] dBm
1461870350.04 3335232932 4486550 ms 1653521 ms 429166 ms 955018 ms 183 -35 [-39, -38] dBm 421302 4489182 ms 239780 ms 1068 ms 235690 ms 11 -46 [-49, -49] dBm
1461870357.89 3360023239 4494421 ms 1660416 ms 431668 ms 958689 ms 185 -35 [-39, -38] dBm 428145 4496992 ms 240557 ms 1072 ms 236470 ms 13 -48 [-51, -51] dBm
1461870365.72 3384124108 4502166 ms 1667196 ms 434058 ms 962282 ms 185 -35 [-38, -38] dBm 428805 4504777 ms 241122 ms 1075 ms 237042 ms 13 -49 [-51, -55] dBm
1461870373.56 3406626477 4510044 ms 1674085 ms 436434 ms 965957 ms 185 -35 [-38, -38] dBm 429367 4512559 ms 241596 ms 1079 ms 237514 ms 13 -49 [-53, -52] dBm
1461870381.28 3428577622 4517687 ms 1680642 ms 438718 ms 969472 ms 185 -36 [-39, -40] dBm 500367 4520246 ms 242500 ms 1094 ms 238406 ms 15 -46 [-48, -51] dBm
1461870389.05 3452010128 4525428 ms 1687347 ms 441316 ms 972942 ms 185 -36 [-39, -40] dBm 508163 4528007 ms 243418 ms 1096 ms 239332 ms 15 -41 [-42, -46] dBm
1461870396.78 3476313641 4533157 ms 1694272 ms 443980 ms 976529 ms 187 -36 [-38, -40] dBm 510338 4535721 ms 244319 ms 1100 ms 240241 ms 15 -41 [-42, -48] dBm
1461870404.52 3500384322 4540866 ms 1700924 ms 446346 ms 980104 ms 187 -36 [-39, -40] dBm 512874 4543463 ms 245064 ms 1106 ms 240986 ms 17 -41 [-49, -42] dBm
1461870412.23 3522894720 4548575 ms 1707747 ms 448784 ms 983747 ms 187 -36 [-39, -40] dBm 515483 4551123 ms 245558 ms 1113 ms 241467 ms 18 -40 [-48, -41] dBm
1461870419.94 3546079064 4556255 ms 1714545 ms 451264 ms 987345 ms 187 -36 [-39, -39] dBm 518423 4558836 ms 246100 ms 1116 ms 241998 ms 19 -41 [-50, -41] dBm
1461870427.7 3567936414 4563998 ms 1721269 ms 453650 ms 990783 ms 187 -36 [-39, -39] dBm 720227 4566565 ms 246801 ms 1162 ms 242638 ms 20 -41 [-51, -41] dBm
1461870435.43 3590195906 4571705 ms 1728113 ms 456027 ms 994285 ms 187 -36 [-39, -39] dBm 722601 4574287 ms 247268 ms 1165 ms 243104 ms 20 -41 [-50, -41] dBm
1461870443.15 3611682780 4579425 ms 1734983 ms 458471 ms 997749 ms 188 -36 [-39, -39] dBm 724696 4582026 ms 248154 ms 1169 ms 243995 ms 20 -41 [-50, -41] dBm
1461870450.98 3634978940 4587247 ms 1741991 ms 461012 ms 1001320 ms 188 -36 [-39, -39] dBm 727043 4589876 ms 248744 ms 1170 ms 244581 ms 20 -41 [-46, -43] dBm
1461870458.84 3658578141 4595110 ms 1748915 ms 463784 ms 1004562 ms 189 -36 [-39, -40] dBm 729482 4597664 ms 249696 ms 1172 ms 245539 ms 20 -41 [-52, -42] dBm
1461870466.63 3680312154 4602861 ms 1755557 ms 466079 ms 1007982 ms 189 -36 [-39, -40] dBm 731673 4605391 ms 250617 ms 1174 ms 246446 ms 20 -42 [-51, -42] dBm
1461870474.36 3698820668 4610541 ms 1761239 ms 467907 ms 1011009 ms 189 -36 [-39, -40] dBm 734219 4613101 ms 251154 ms 1177 ms 246973 ms 20 -42 [-49, -44] dBm
1461870482.07 3718248449 4618261 ms 1767776 ms 470164 ms 1014354 ms 189 -37 [-40, -40] dBm 736683 4620786 ms 251663 ms 1181 ms 247472 ms 20 -41 [-50, -42] dBm
1461870489.8 3742012589 4625945 ms 1774496 ms 472646 ms 1017705 ms 190 -37 [-39, -41] dBm 739145 4628499 ms 252115 ms 1184 ms 247912 ms 20 -42 [-51, -43] dBm
1461870497.53 3764620488 4633669 ms 1781335 ms 475166 ms 1021160 ms 190 -37 [-39, -41] dBm 741012 4636201 ms 252528 ms 1185 ms 248320 ms 20 -42 [-48, -44] dBm
1461870505.25 3785417023 4641398 ms 1788070 ms 477527 ms 1024518 ms 191 -36 [-38, -40] dBm 743393 4643922 ms 252967 ms 1190 ms 248753 ms 20 -48 [-51, -51] dBm
1461870512.98 3804599824 4649078 ms 1794797 ms 479756 ms 1027915 ms 191 -36 [-38, -40] dBm 745756 4651635 ms 253533 ms 1193 ms 249312 ms 20 -48 [-52, -51] dBm
1461870520.69 3825164384 4656768 ms 1801525 ms 482109 ms 1031267 ms 191 -35 [-38, -39] dBm 748216 4659327 ms 254252 ms 1196 ms 250024 ms 20 -48 [-53, -50] dBm
1461870528.43 3848680870 4664482 ms 1808366 ms 484598 ms 1034792 ms 191 -36 [-39, -39] dBm 750753 4667016 ms 254669 ms 1198 ms 250430 ms 20 -48 [-52, -50] dBm
1461870536.15 3867897643 4672191 ms 1815105 ms 486949 ms 1038196 ms 191 -35 [-39, -39] dBm 753176 4674737 ms 255295 ms 1201 ms 251052 ms 20 -50 [-57, -52] dBm
1461870543.87 3890660937 4679919 ms 1821963 ms 489357 ms 1041816 ms 193 -36 [-39, -39] dBm 755713 4682434 ms 255960 ms 1201 ms 251715 ms 20 -50 [-54, -52] dBm
1461870551.59 3909605423 4687599 ms 1828178 ms 491406 ms 1045160 ms 193 -36 [-39, -39] dBm 758020 4690117 ms 256768 ms 1204 ms 252520 ms 20 -50 [-56, -52] dBm
1461870559.34 3932586104 4695322 ms 1834911 ms 493811 ms 1048721 ms 193 -35 [-38, -38] dBm 760545 4697842 ms 258051 ms 1208 ms 253812 ms 20 -50 [-53, -52] dBm
1461870567.05 3953462491 4703078 ms 1841755 ms 496267 ms 1052100 ms 195 -36 [-39, -39] dBm 766961 4705586 ms 258694 ms 1219 ms 254445 ms 20 -45 [-50, -47] dBm
1461870574.85 3973768794 4710836 ms 1848373 ms 498623 ms 1055335 ms 205 -36 [-39, -39] dBm 837856 4713398 ms 259335 ms 1221 ms 255086 ms 20 -46 [-50, -49] dBm
1461870582.75 3992009639 4718759 ms 1855289 ms 500922 ms 1058800 ms 205 -35 [-39, -39] dBm 838223 4721203 ms 259669 ms 1226 ms 255405 ms 21 -48 [-53, -50] dBm
1461870590.46 4012310181 4726384 ms 1861956 ms 503262 ms 1062097 ms 205 -35 [-39, -38] dBm 838871 4728887 ms 260656 ms 1227 ms 256403 ms 21 -48 [-51, -51] dBm
1461870598.18 4025960157 4734079 ms 1867528 ms 505016 ms 1065074 ms 205 -35 [-39, -38] dBm 839955 4736582 ms 261183 ms 1227 ms 256933 ms 21 -48 [-51, -53] dBm
1461870605.91 4045002255 4741781 ms 1874172 ms 507340 ms 1068291 ms 205 -35 [-39, -38] dBm 854383 4744303 ms 261704 ms 1230 ms 257453 ms 21 -42 [-46, -44] dBm
1461870613.64 4065876475 4749582 ms 1881012 ms 509796 ms 1071722 ms 206 -35 [-39, -38] dBm 860142 4752042 ms 262209 ms 1235 ms 257953 ms 21 -43 [-52, -43] dBm
1461870621.48 4088549851 4757386 ms 1887802 ms 512289 ms 1075182 ms 206 -36 [-39, -38] dBm 862249 4759847 ms 262717 ms 1239 ms 258455 ms 22 -43 [-52, -44] dBm
1461870629.28 4114465554 4765102 ms 1894667 ms 514847 ms 1078878 ms 208 -36 [-39, -38] dBm 864382 4767615 ms 263360 ms 1240 ms 259091 ms 23 -43 [-53, -43] dBm
1461870637.02 4137937474 4772859 ms 1901366 ms 517213 ms 1082519 ms 208 -36 [-39, -39] dBm 866767 4775376 ms 263718 ms 1247 ms 259429 ms 23 -43 [-53, -44] dBm
